[55.673183,37.488662]
[55.555770,37.587589]
[55.566829,37.605789]
[55.663566,37.590507]
[56.101685,38.127136]
[55.741256,37.534091]
[55.483577,37.559841]
[55.571596,38.916398]
[55.791636,37.668735]
[55.673061,37.491195]
[55.815215,37.522171]
[55.510124,37.575073]
[55.634825,37.740778]
[55.811237,37.637718]
[55.899906,37.631531]
[55.66009,37.550118] 
[55.880874,37.650028]
[55.673033,37.91391] 
[55.09159,38.270043] 
[55.90604,37.535811] 
[55.65632,37.727588] 
[55.905418,37.536461]
[55.374462,37.540290]
[55.669345,37.445861]
[55.78333,37.656523] 
[55.788683,38.969438]
[55.077555,37.843948]
[55.760728,38.937445]
[55.485336,37.557121]
[55.484474,37.557575]
[55.901025,37.628403]
[55.664633,38.032815]
[55.677909,37.625331]
[55.659318,37.751806]
[55.662754,37.656993]
[55.484806,37.557308]
[55.483600,37.556331]
[55.330337,37.565448]
[55.676750,37.688823]
[55.785563,37.390245]
[55.657315,37.380108]
[55.915271,37.758561]
[55.538322,37.499671]
[55.715957,37.685649]
[55.075216,37.839515]
[55.593139,37.600154]
[55.566249,37.604736]
[55.899928,37.631543]
[55.815223,37.522226]
[55.322643,37.467058]
[55.795061,37.57699] 
[55.723246,37.552748]
[55.713343,37.594701]
[55.624576,37.642738]
[55.881130,37.651630]
[55.561328,37.669975]
[55.679321,37.698936]
[55.572353,37.654914]
[55.901238,37.628126]
[55.482631,37.562664]
[55.786361,37.663066]
[55.624588,37.642807]
[55.746143,37.700405]
[55.537750,37.539726]
[55.878074,37.644924]
[55.624610,37.643321]
[55.673999,37.299221]
[55.887603,37.645137]
[55.878349,37.637500]
[55.744816,37.421418]
[55.483081,37.557598]
[55.719196,37.676548]
[55.915226,37.758161]
[55.559065,37.775771]
[55.881111,37.651252]
[55.632064,37.679916]
[55.566860,37.605880]
[55.126651,37.556758]
[55.788683,38.969438]
[55.84136,37.183733] 
[55.760676,38.937466]
[55.492374,37.312557]
[55.673503,37.489116]
[55.835765,37.403381]
[55.663372,37.621166]
[55.075235,37.839425]
[55.85656,37.512725] 
[55.79958,37.566688] 
[55.67005,37.906351] 
[55.566837,37.605808]
[55.620123,37.787211]
[55.6936,37.814438]  
[55.785408,37.072158]
